type,project_cost,number_of_workers,project_result
finance,470000,74,Fail
finance,15000000,156,Success
finance,41080000,68,Success
finance,6060000,174,Success
finance,300000,191,Success
finance,2660000,223,Success
finance,450000,139,Success
finance,6000000,97,Success
finance,126000000,208,Success
finance,3000000,235,Success
finance,160000000,128,Success
finance,147000000,50,Success
finance,3000000,68,Fail
finance,426300000,83,Success
finance,19000000,166,Success
finance,11050000,195,Success
finance,22600000,217,Success
finance,50000000,67,Success
finance,25000000,184,Success
manufacturing,1200000000,190,Success
finance,2000000,224,Success
finance,10000000,232,Success
finance,7000000,174,Success
finance,35000000,78,Success
finance,550000,139,Success
finance,31000000,163,Success
finance,3000000,199,Success
finance,2250000,108,Success
finance,30000000,52,Fail
finance,2480000,229,Fail
finance,65000000,235,Success
finance,2000000,102,Success
finance,350000000,135,Success
finance,122000000,209,Success
finance,20000000,110,Success
finance,15290000,121,Success
finance,2600000,99,Success
finance,248000000,235,Success
manufacturing,400000000,102,Success
manufacturing,50000000,201,Success
finance,3000000,179,Success
manufacturing,90000000,149,Fail
finance,55000000,101,Success
finance,360000,173,Success
finance,770000,141,Success
finance,3000000,235,Success
finance,60000000,138,Fail
manufacturing,200000000,79,Success
finance,950000,178,Success
finance,10000000,133,Success
finance,6900000,151,Success
finance,166000000,142,Success
manufacturing,100000000,104,Success
finance,18300000,58,Success
manufacturing,35000000,113,Fail
finance,210000,64,Success
finance,100000000,179,Success
finance,140000000,145,Success
finance,3900000,125,Success
finance,10000000,125,Success
finance,30000000,199,Success
finance,2940000,137,Success
finance,50000000,244,Success
finance,3000000,201,Success
manufacturing,95000000,195,Success
finance,134150000,191,Success
finance,2950000,71,Success
finance,1000000,222,Success
finance,144000000,125,Success
finance,20000000,213,Success
manufacturing,3000000,82,Fail
finance,114060000,77,Success
finance,80000000,220,Success
finance,279700000,189,Success
finance,23000000,56,Success
finance,107060000,234,Success
finance,65600000,55,Success
finance,5100000,249,Success
finance,200000000,105,Success
finance,40000000,100,Success
finance,4900000,56,Success
finance,34800000,129,Success
finance,3230000,143,Success
finance,197250000,93,Success
finance,15800000,120,Success
finance,95000000,245,Success
finance,28200000,127,Success
manufacturing,70000000,164,Success
finance,2490000,222,Success
finance,260000,136,Success
finance,10000000,126,Success
manufacturing,250000000,144,Success
finance,750000,225,Success
finance,60000000,114,Fail
finance,400000,90,Success
finance,44900000,158,Success
finance,37500000,69,Success
finance,550000000,105,Success
finance,1500000,127,Success
finance,820000,179,Success
manufacturing,200000000,209,Success
finance,5000000,223,Success
finance,50000000,238,Success
finance,2000000,158,Success
finance,6000000,82,Success
finance,12270000,58,Success
finance,164200000,168,Success
tourism,35000000,68,Fail
tourism,40000000,86,Success
finance,209000000,244,Success
manufacturing,80000000,142,Success
finance,65000000,226,Success
finance,8700000,177,Success
finance,2800000,180,Success
finance,42000000,122,Success
finance,2200000,177,Success
finance,5000000,74,Fail
finance,50000000,239,Success
manufacturing,350000000,87,Success
finance,4630000,184,Success
finance,5000000,69,Success
finance,22000000,174,Success
finance,40000000,74,Success
finance,8110000,93,Success
finance,111000000,239,Success
finance,84150000,111,Success
finance,219000000,167,Success
finance,35000000,182,Success
manufacturing,5000000,55,Success
manufacturing,450000000,218,Success
finance,86000000,164,Fail
finance,71000000,205,Success
finance,60000000,186,Success
finance,30000000,237,Success
finance,35000000,121,Success
finance,52000000,119,Success
manufacturing,55000000,146,Success
finance,65000000,238,Success
finance,15500000,63,Success
finance,12000000,90,Success
finance,285000000,111,Success
finance,150000000,132,Fail
finance,20800000,149,Success
finance,3000000,235,Success
finance,70000000,204,Success
finance,21500000,88,Success
finance,32000000,70,Success
finance,175000000,209,Success
finance,20000000,138,Success
finance,140000000,56,Success
finance,375000000,229,Success
finance,240000000,247,Success
tourism,700000000,142,Success
finance,18500000,70,Success
finance,21000000,240,Success
manufacturing,75000000,138,Fail
finance,25000000,155,Success
manufacturing,41000000,109,Success
finance,15000000,95,Success
finance,20000000,241,Success
finance,350000,115,Success
finance,15000000,53,Success
finance,10000000,55,Success
finance,191100000,130,Success
finance,4900000,202,Success
finance,105000000,213,Success
finance,14000000,85,Success
finance,8730000,184,Success
finance,28500000,64,Success
finance,15000000,142,Success
finance,38000000,168,Success
finance,2000000,161,Success
finance,500000,85,Success
finance,1000000,56,Success
manufacturing,200000000,113,Success
finance,120470000,177,Success
finance,27800000,52,Success
finance,72250000,62,Success
manufacturing,25000000,184,Success
finance,148000000,128,Success
finance,50000000,197,Success
finance,200000000,82,Success
finance,40000000,84,Success
finance,105000000,210,Success
finance,150000000,50,Success
finance,30000000,97,Fail
finance,300000000,146,Success
finance,37000000,71,Success
manufacturing,50000000,101,Success
finance,65000000,87,Success
finance,450000000,112,Success
finance,250000,241,Success
finance,400000,105,Success
finance,67300000,243,Success
finance,91000000,186,Fail
finance,30000000,174,Fail
manufacturing,40000000,177,Success
manufacturing,4000000,226,Fail
finance,1833000000,139,Success
manufacturing,80000000,63,Success
finance,300000,59,Success
manufacturing,75000000,132,Success
finance,53270000,84,Success
finance,65000000,123,Success
finance,30000000,168,Success
finance,45000000,84,Success
finance,13500000,235,Success
finance,27000000,79,Success
finance,450000,244,Success
finance,25000000,84,Success
finance,4961500000,126,Success
manufacturing,50000000,86,Success
finance,41500000,235,Success
finance,128000000,124,Success
finance,33000000,66,Success
finance,61950000,137,Fail
manufacturing,70000000,214,Success
manufacturing,100000000,120,Success
finance,545000000,86,Success
finance,60000000,175,Success
finance,18000000,65,Success
finance,107900000,238,Success
finance,110100000,119,Success
finance,31000000,64,Success
manufacturing,100000000,62,Fail
finance,120000000,225,Fail
finance,50000000,224,Success
finance,5000000,152,Success
finance,79000000,121,Success
finance,100000000,243,Success
finance,75000000,53,Success
finance,9250000,151,Success
finance,50000000,68,Fail
finance,15000000,177,Success
finance,132340000,235,Success
finance,150000000,170,Success
finance,185000000,102,Fail
finance,206700000,150,Success
finance,500000000,88,Success
finance,5000000,99,Success
manufacturing,50000000,115,Success
finance,76100000,132,Success
manufacturing,500000000,128,Success
manufacturing,25000000,182,Success
finance,450800000,180,Success
finance,187500000,116,Success
finance,25000000,94,Success
finance,50000000,216,Success
manufacturing,3000000,137,Success
finance,33000000,185,Success
finance,800000,82,Success
finance,720000,113,Success
finance,800000,201,Success
finance,650000,232,Success
finance,450000,171,Success
finance,850000,52,Success
finance,100000000,140,Success
finance,3500000,188,Success
finance,5000000,148,Success
finance,6000000,143,Success
finance,4000000,101,Success
finance,95000000,155,Success
finance,200000,117,Success
finance,1850000,171,Success
finance,150000000,143,Success
manufacturing,45000000,158,Success
finance,421000000,145,Success
finance,2500000,74,Success
finance,8500000,242,Success
finance,200000000,244,Fail
finance,29000000,247,Success
finance,210000000,138,Fail
finance,6000000,79,Success
finance,4190000,57,Success
finance,230000000,134,Success
finance,70000000,250,Success
finance,3000000,191,Fail
finance,840000,76,Success
finance,45000000,77,Success
finance,3000000,126,Success
finance,350000,128,Success
finance,40000000,155,Success
finance,1500000,98,Success
finance,500000,87,Success
finance,172200000,180,Success
finance,1500000,139,Success
finance,20000000,224,Success
manufacturing,80000000,129,Success
finance,93000000,189,Success
finance,75000000,73,Success
finance,550000000,119,Success
finance,3400000,202,Success
finance,40000000,53,Success
finance,130000000,57,Success
finance,6680000,141,Success
finance,370000,67,Success
finance,1700000,90,Success
finance,30000000,239,Success
finance,6870000,183,Fail
finance,140000000,67,Fail
finance,7830000,227,Success
manufacturing,300000000,54,Success
finance,10000000,145,Success
finance,50000000,95,Success
finance,7500000,135,Success
finance,250000000,103,Fail
finance,9000000,205,Success
finance,2750000,102,Success
finance,27000000,197,Success
finance,4500000,109,Success
finance,200000000,243,Success
finance,4750000,65,Success
finance,5000000,70,Success
finance,40000000,191,Success
finance,2000000,103,Success
finance,80000000,237,Success
finance,900000,195,Success
finance,2390000,193,Success
finance,121000000,122,Success
finance,38000000,192,Success
finance,20000000,193,Success
finance,15440000,223,Success
finance,15000000,209,Success
finance,1050000,120,Success
finance,25000000,248,Success
finance,4500000,176,Success
finance,146000000,116,Success
finance,40000000,154,Success
finance,3000000,175,Success
finance,85000000,65,Fail
finance,80970000,144,Success
finance,27640000,159,Success
finance,188000000,115,Success
finance,15200000,63,Success
finance,2000000,199,Success
finance,96200000,172,Success
finance,200000000,222,Success
finance,27200000,80,Success
finance,200000000,163,Success
finance,50000000,218,Success
finance,37000000,88,Success
finance,100000000,56,Success
finance,68500000,119,Success
finance,2500000,212,Success
finance,6000000,244,Success
finance,30000000,93,Success
finance,50600000,179,Success
finance,55200000,86,Success
finance,100000000,213,Success
finance,30000000,206,Fail
finance,300000000,246,Success
finance,5000000,141,Success
finance,7000000,150,Success
manufacturing,7000000,70,Success
finance,676000000,168,Success
finance,370000000,244,Success
finance,18280000,206,Success
finance,22500000,247,Success
finance,10000000,118,Success
finance,41300000,106,Fail
finance,8970000,59,Success
finance,13800000,235,Success
finance,100000000,90,Fail
manufacturing,130000000,116,Success
finance,6400000,156,Success
finance,5000000,81,Success
finance,74990000,176,Success
finance,200000000,237,Success
finance,11000000,231,Success
finance,42300000,189,Success
finance,365500000,97,Success
finance,2000000,75,Success
finance,2730000,159,Success
finance,10200000,206,Success
finance,50000000,168,Success
finance,276000000,248,Success
finance,16000000,195,Success
finance,53000000,81,Success
finance,48400000,87,Success
finance,3500000,53,Success
finance,6000000,72,Success
finance,19800000,238,Success
finance,176000000,203,Success
finance,51800000,160,Success
finance,15000000,209,Success
finance,51000000,99,Success
finance,20790000,58,Success
finance,100000000,132,Success
finance,131000000,63,Success
finance,65910000,146,Success
finance,3400000,60,Success
finance,103000000,207,Success
finance,660000,207,Success
finance,60000000,201,Success
finance,3000000,234,Success
finance,60000000,90,Success
finance,1010000,222,Success
finance,700000,246,Success
finance,770000,212,Success
finance,15100000,225,Success
finance,2750000,64,Success
finance,77000000,89,Success
finance,53000000,108,Success
manufacturing,40000000,145,Success
finance,248000000,193,Success
finance,1000000,244,Success
finance,103000000,59,Success
finance,15900000,130,Success
finance,226500000,62,Success
finance,35000000,234,Success
finance,65000000,77,Success
finance,2000000,193,Success
finance,1700000,245,Success
finance,4500000,111,Success
finance,2000000,173,Success
finance,106960000,52,Success
finance,416000000,53,Success
finance,150000000,231,Success
finance,10000000,120,Success
finance,30000000,78,Success
finance,2860000,190,Success
manufacturing,300000000,171,Success
finance,2750000,105,Success
finance,2320000,239,Success
finance,4500000,120,Success
finance,5000000,236,Success
manufacturing,10000000,78,Success
finance,30000000,93,Success
finance,20000000,78,Success
finance,3800000,56,Success
finance,120000000,76,Success
manufacturing,50000000,200,Success
finance,50000000,143,Success
finance,2616000000,230,Success
finance,2000000,108,Success
finance,30000000,128,Success
finance,711000000,206,Success
finance,10000000,56,Success
finance,11600000,209,Success
finance,100000000,106,Success
finance,88400000,142,Success
finance,40000000,169,Success
finance,15000000,151,Success
manufacturing,30000000,201,Success
finance,102900000,230,Success
finance,50000000,179,Success
finance,2200000,98,Success
finance,200000000,219,Fail
finance,5000000,132,Success
manufacturing,20000000,80,Success
manufacturing,100000000,101,Success
finance,4950000,65,Success
finance,349400000,246,Success
manufacturing,30000000,163,Success
finance,45000000,115,Success
finance,14200000,233,Success
finance,30000000,247,Success
finance,3000000,240,Success
finance,500000000,203,Success
manufacturing,7000000,119,Success
manufacturing,110000000,122,Success
finance,294200000,73,Success
manufacturing,29900000,96,Success
finance,231010000,57,Success
finance,2000000,166,Success
finance,20000000,214,Success
finance,74000000,72,Success
manufacturing,70000000,246,Success
finance,35000000,236,Success
finance,110150000,189,Success
manufacturing,50000000,152,Success
finance,490000000,190,Success
finance,500000000,113,Success
finance,8000000,185,Success
finance,27800000,174,Success
finance,8500000,68,Success
finance,2000000,210,Success
finance,5140000,140,Success
finance,300000000,130,Success
finance,2000000,91,Fail
finance,66400000,145,Success
finance,100000000,248,Success
finance,93320000,228,Success
finance,32000000,182,Success
finance,10570000,104,Success
finance,15750000,94,Success
finance,144000000,158,Success
finance,1473900000,61,Success
finance,4500000,116,Success
finance,60200000,203,Success
finance,15000000,96,Success
finance,3210000,126,Success
finance,5000000,150,Fail
finance,150000000,52,Success
finance,63000000,119,Success
finance,5600000,89,Success
finance,13000000,120,Success
finance,73000000,227,Success
finance,17200000,137,Success
finance,16760000,171,Success
finance,2700000,181,Success
finance,5000000,146,Success
finance,156000000,181,Success
finance,2350000,71,Success
finance,4507000000,107,Success
tourism,32000000,241,Success
tourism,99000000,236,Success
finance,40500000,176,Success
finance,10500000,154,Success
finance,76500000,107,Success
finance,15000000,119,Fail
finance,69000000,218,Success
finance,200000000,180,Success
finance,30000000,70,Success
finance,223600000,232,Success
finance,25000000,87,Fail
tourism,300000,213,Success
finance,191000000,92,Success
tourism,3400000,66,Success
finance,67000000,83,Success
finance,3800000,141,Success
finance,5500000,115,Success
finance,100000000,52,Success
tourism,10880000,59,Fail
finance,90000000,191,Fail
manufacturing,63000000,140,Success
finance,100000000,135,Success
finance,17000000,180,Success
finance,40000000,135,Success
manufacturing,100000000,108,Success
manufacturing,70000000,148,Success
finance,4750000,228,Success
finance,50000000,93,Success
finance,79100000,148,Success
education,60000000,220,Success
finance,8760000,99,Success
finance,2000000,232,Success
manufacturing,50000000,196,Success
finance,200000000,62,Success
finance,153890000,250,Success
tourism,7450000,169,Success
finance,248000000,122,Success
tourism,350000,159,Success
tourism,14500000,190,Success
finance,15000000,89,Success
tourism,1000000,221,Fail
tourism,600000,226,Success
tourism,3800000,126,Success
finance,10000000,211,Success
tourism,800000,118,Success
finance,20000000,243,Fail
tourism,18600000,237,Fail
finance,30000000,64,Success
finance,5000000,126,Success
finance,6000000,99,Fail
finance,5700000,125,Success
tourism,1500000,180,Success
tourism,600000,116,Success
finance,133000000,141,Success
manufacturing,26000000,75,Success
tourism,300000,198,Success
finance,12100000,73,Success
tourism,124500000,62,Fail
finance,200000000,221,Success
finance,21000000,114,Success
finance,20000000,131,Success
finance,4900000,159,Success
finance,22900000,90,Success
tourism,2550000,137,Success
tourism,3000000,93,Success
finance,100000000,81,Success
finance,5800000,160,Success
finance,29000000,104,Success
tourism,3500000,123,Success
finance,6500000,182,Success
finance,1330000,229,Success
tourism,2000000,130,Success
finance,61000000,150,Success
manufacturing,100000000,223,Success
finance,4810000,86,Success
finance,97000000,193,Success
finance,9000000,101,Success
finance,60000000,111,Success
finance,5500000,185,Success
finance,13300000,52,Success
tourism,2000000,153,Success
tourism,60000000,187,Success
finance,26260000,120,Success
finance,4550000,91,Success
finance,20000000,82,Fail
finance,108000000,63,Success
tourism,8500000,81,Fail
finance,21000000,107,Success
finance,7520000,85,Success
finance,120000000,197,Success
finance,14000000,126,Success
finance,100000000,70,Success
tourism,400000,208,Success
tourism,1000000,236,Success
tourism,4310000,204,Success
finance,91000000,244,Success
manufacturing,70000000,92,Success
tourism,1445000000,127,Fail
tourism,3000000,174,Success
finance,158310000,201,Success
finance,4840000,162,Fail
finance,28000000,199,Success
finance,8680000,217,Success
manufacturing,100000000,246,Success
Information Technology,160000000,192,Success
finance,18000000,117,Success
finance,8000000,220,Success
finance,4000000,223,Success
finance,166600000,110,Success
finance,7500000,226,Success
finance,50000000,112,Success
tourism,2850000,245,Success
finance,3000000,147,Success
finance,152700000,229,Success
finance,270000000,208,Success
tourism,280000,111,Success
finance,6090000,206,Success
tourism,2850000,121,Success
tourism,230000,224,Success
finance,44520000,83,Success
finance,10710000,83,Success
tourism,102000000,126,Success
manufacturing,100000000,234,Success
finance,100000000,106,Success
tourism,3000000,166,Success
finance,33000000,61,Success
tourism,25000000,59,Success
manufacturing,25000000,206,Success
manufacturing,150000000,60,Success
manufacturing,50000000,212,Success
tourism,5000000,55,Success
finance,32800000,196,Success
finance,218500000,68,Success
finance,270400000,194,Success
finance,40500000,178,Success
finance,380000000,199,Success
finance,233800000,103,Success
finance,183750000,101,Success
tourism,23200000,98,Fail
finance,35000000,101,Success
finance,250000,189,Success
finance,28500000,227,Success
finance,6000000,168,Success
Information Technology,1000000,145,Success
tourism,230000,198,Success
finance,55800000,184,Success
finance,217700000,140,Success
Information Technology,160000000,64,Success
finance,168200000,110,Success
finance,127300000,250,Success
tourism,5200000,58,Success
finance,210000000,228,Success
finance,94650000,247,Success
manufacturing,25000000,233,Success
finance,35000000,130,Success
finance,21310000,180,Success
finance,73050000,223,Success
finance,10200000,105,Success
education,12000000,109,Success
tourism,2850000,243,Success
finance,18140000,203,Success
tourism,5000000,127,Success
tourism,30000000,217,Success
finance,57500000,73,Success
finance,92100000,170,Success
tourism,900000,67,Success
tourism,2100000,211,Success
tourism,270000,158,Success
manufacturing,20000000,71,Success
tourism,25000000,149,Success
manufacturing,50000000,133,Success
finance,13000000,180,Success
manufacturing,250000000,234,Success
finance,36900000,247,Success
finance,15000000,161,Success
finance,85400000,75,Success
tourism,1780000,98,Success
manufacturing,15000000,197,Success
finance,1500000,138,Success
finance,2000000,98,Success
manufacturing,7000000,116,Success
finance,100000000,164,Success
finance,74500000,125,Success
finance,70000000,231,Success
tourism,20000000,125,Success
finance,40000000,108,Success
finance,8000000,141,Success
tourism,60000000,202,Fail
finance,50000000,234,Success
manufacturing,70000000,225,Success
manufacturing,14000000,54,Success
finance,91000000,99,Success
tourism,19000000,148,Success
finance,102000000,116,Success
finance,13250000,117,Success
tourism,2400000,73,Success
finance,300000000,56,Success
finance,40000000,230,Success
tourism,65000000,72,Success
tourism,25000000,125,Success
tourism,350000,152,Success
tourism,230000,132,Success
tourism,450000,136,Success
finance,510000,224,Success
tourism,3100000,119,Success
education,50000000,162,Success
manufacturing,3800000,103,Success
finance,360000,63,Success
finance,350000,150,Success
manufacturing,50000000,184,Success
finance,50900000,215,Success
finance,5000000,203,Success
education,50000000,136,Success
tourism,3080000,79,Success
tourism,380000,54,Success
finance,385000000,133,Success
tourism,2570000,210,Success
finance,7200000,201,Success
tourism,180000,218,Success
finance,9530000,225,Success
tourism,28000000,141,Fail
finance,255000000,245,Success
tourism,350000,118,Success
finance,212500000,74,Success
finance,250000000,89,Success
finance,2677000000,178,Success
tourism,2730000,118,Success
manufacturing,110000000,133,Success
tourism,12800000,197,Success
tourism,2520000,244,Success
finance,7000000,209,Success
tourism,50000000,229,Fail
tourism,100000000,174,Success
finance,385000000,199,Success
education,19640000,134,Success
finance,45400000,132,Success
tourism,10000000,83,Success
finance,7560000,105,Success
finance,21000000,208,Success
tourism,106500000,197,Success
tourism,290000,230,Success
manufacturing,5500000,68,Success
manufacturing,200000000,152,Success
finance,19000000,193,Success
tourism,22000000,213,Success
finance,85000000,79,Success
finance,95000000,128,Success
tourism,72000000,129,Success
finance,220000000,153,Success
finance,1050000,115,Success
tourism,230000000,75,Success
tourism,2860000,81,Success
finance,50000000,81,Success
finance,15300000,191,Success
tourism,3900000,163,Success
finance,300000000,92,Success
tourism,4900000,161,Success
tourism,3000000,232,Success
tourism,5200000,180,Success
finance,102500000,200,Success
tourism,125000000,205,Success
finance,1000000,117,Success
finance,5000000,237,Success
finance,210200000,248,Success
finance,86020000,84,Success
finance,940000,199,Success
tourism,50000,229,Success
education,35000000,96,Success
finance,785040000,150,Success
finance,5000000,213,Success
manufacturing,100000000,130,Success
finance,6500000,214,Success
finance,58150000,92,Success
finance,550000000,68,Success
manufacturing,15000000,129,Success
tourism,5000000,135,Success
manufacturing,40000000,112,Success
tourism,410000,133,Success
tourism,760000,83,Success
finance,100000000,233,Success
finance,86000000,245,Success
tourism,50000000,163,Success
tourism,5000000,184,Success
finance,42300000,79,Success
tourism,180000000,139,Success
tourism,670000,167,Success
finance,390000,61,Success
finance,135000000,220,Success
tourism,15000000,83,Success
tourism,50000000,129,Success
finance,50000000,217,Success
manufacturing,50000000,180,Success
finance,40000000,158,Success
finance,2970000,249,Fail
Information Technology,3600000,79,Success
finance,122000000,204,Success
education,10000000,146,Success
tourism,350000,153,Success
tourism,75500000,114,Success
tourism,250000,222,Success
finance,50000000,213,Success
manufacturing,100000000,240,Success
finance,18000000,63,Success
tourism,2860000,152,Success
tourism,150000000,139,Success
tourism,1280000,237,Success
finance,18300000,193,Success
tourism,23450000,224,Success
tourism,10000000,165,Success
tourism,210000000,163,Fail
tourism,38000000,170,Success
tourism,10000000,179,Success
finance,15000000,135,Success
finance,4887090000,158,Success
finance,390000,204,Success
finance,36900000,135,Success
manufacturing,200000000,149,Success
finance,15050000,87,Success
tourism,3500000,115,Success
tourism,3200000,238,Success
finance,52870000,240,Success
tourism,2610000,118,Success
tourism,5000000,92,Success
tourism,56800000,137,Success
finance,3710000,163,Success
tourism,750000,216,Success
finance,76500000,142,Success
finance,32000000,190,Success
tourism,80800000,188,Success
manufacturing,20000000,184,Success
tourism,2850000,242,Success
finance,50000000,188,Success
tourism,7800000,164,Success
tourism,600000,205,Success
finance,10000000,86,Success
manufacturing,50000000,245,Success
tourism,3000000,223,Success
finance,6550000,242,Success
tourism,20000000,191,Success
manufacturing,55000000,109,Success
tourism,200000,156,Success
manufacturing,500000000,167,Success
tourism,9000000,61,Success
finance,17000000,189,Success
tourism,6000000,205,Success
Information Technology,78000000,72,Fail
tourism,45000000,75,Fail
tourism,9000000,169,Success
manufacturing,20000000,153,Success
tourism,5000000,58,Success
tourism,31400000,127,Fail
manufacturing,4200000,68,Success
manufacturing,300000000,215,Success
manufacturing,130000000,151,Success
tourism,30000000,78,Success
tourism,14680000,152,Success
manufacturing,203200000,172,Success
tourism,550000,225,Success
tourism,290000,152,Success
finance,2780000,54,Success
finance,6600000,100,Success
tourism,75000000,85,Success
finance,102000000,227,Success
tourism,5600000,164,Success
tourism,50000000,68,Success
finance,3000000,108,Success
tourism,30000,154,Success
tourism,30000,67,Success
tourism,30000,108,Success
tourism,30000,211,Success
tourism,30000,140,Success
tourism,30000,75,Success
tourism,30000,72,Success
tourism,10000000,181,Fail
manufacturing,50000000,208,Success
manufacturing,30000000,175,Success
manufacturing,15500000,190,Success
education,55100000,131,Success
finance,70000000,159,Success
tourism,28550000,145,Success
manufacturing,10000000,102,Success
manufacturing,100000000,207,Success
finance,30000000,116,Success
finance,119100000,239,Success
tourism,15000000,184,Success
finance,4200000,249,Success
finance,36000000,148,Success
finance,300000000,222,Success
tourism,5000000,249,Success
finance,8200000,197,Success
finance,65240000,237,Success
tourism,14000000,138,Success
finance,28000000,182,Success
manufacturing,35000000,152,Success
finance,74850000,118,Success
tourism,2000000,179,Success
finance,12040000,202,Success
finance,25190000,75,Success
tourism,350000,144,Success
manufacturing,125000000,132,Fail
tourism,3030000,186,Success
tourism,5000000,212,Success
tourism,200000,58,Success
manufacturing,25000000,69,Success
finance,98500000,84,Success
manufacturing,160000000,100,Success
finance,290800000,245,Success
finance,400000000,200,Success
manufacturing,15000000,54,Success
finance,12400000,163,Success
tourism,14000000,220,Success
manufacturing,14000000,156,Success
tourism,4400000,210,Success
manufacturing,40000000,162,Success
finance,35000000,92,Success
tourism,410000,209,Success
finance,25000000,142,Success
finance,23050000,112,Success
tourism,400000,131,Success
tourism,14800000,209,Success
finance,2000000,87,Success
tourism,1830000,119,Success
tourism,6800000,52,Success
finance,15000000,54,Success
finance,20000000,142,Success
tourism,427000000,247,Success
tourism,1180000,109,Success
tourism,3000000,128,Success
finance,1262500000,119,Success
tourism,29630000,173,Success
finance,31000000,153,Success
education,500000000,137,Fail
finance,49000000,230,Success
tourism,60000000,193,Success
manufacturing,30000000,240,Success
finance,80000000,175,Success
Information Technology,300000000,200,Fail
education,370000000,147,Success
education,201500000,250,Success
finance,24280000,188,Success
manufacturing,24000000,112,Success
tourism,750000,199,Success
manufacturing,30000000,70,Success
tourism,200000000,169,Success
finance,2000000,158,Success
finance,300000000,188,Success
manufacturing,110000000,72,Success
tourism,250000,136,Success
manufacturing,90000000,194,Success
tourism,59000000,183,Success
Information Technology,200000000,114,Success
tourism,300000,50,Success
tourism,750000,177,Success
tourism,100000000,230,Success
tourism,16000000,176,Success
manufacturing,50000000,126,Success
tourism,66950000,144,Success
tourism,1400000,130,Success
manufacturing,500000000,103,Success
tourism,75000000,246,Success
tourism,800000,193,Success
tourism,270000,54,Success
finance,30000000,238,Success
tourism,1830000,57,Success
tourism,112000000,207,Success
finance,10000000,169,Success
manufacturing,50000000,176,Success
tourism,600000,141,Success
tourism,43380000,144,Success
tourism,1500000,189,Success
tourism,15800000,50,Success
education,2721800000,79,Success
finance,75000000,202,Success
tourism,50000,122,Success
manufacturing,20000000,55,Success
tourism,30000000,213,Success
finance,63000000,154,Success
tourism,880000,159,Success
tourism,20000000,155,Success
finance,30000000,104,Success
finance,255000000,84,Success
tourism,2740000,159,Success
finance,249400000,92,Success
finance,93500000,207,Success
tourism,250000,218,Success
finance,11800000,66,Success
finance,46000000,127,Success
tourism,3000000,66,Success
tourism,14250000,107,Success
manufacturing,250000000,236,Success
tourism,37000000,123,Success
finance,1830000,217,Success
tourism,340000000,187,Fail
education,3020000,76,Success
tourism,2200000,213,Success
Information Technology,200000000,98,Fail
tourism,2200000,140,Success
tourism,208000000,60,Success
tourism,78700000,138,Success
tourism,2730000,165,Success
education,39020000,108,Success
tourism,37000000,106,Success
manufacturing,50000000,185,Success
tourism,20000000,244,Success
finance,103100000,108,Success
finance,15500000,171,Success
tourism,1500000,196,Success
tourism,8000000,220,Success
manufacturing,7000000,226,Success
finance,617000000,198,Success
tourism,50000000,232,Fail
tourism,40000000,187,Success
tourism,480000,191,Success
finance,161000000,153,Success
finance,178000000,68,Success
manufacturing,22000000,163,Success
tourism,2730000,189,Success
tourism,8000000,157,Fail
tourism,15000000,58,Success
finance,19270000,114,Success
finance,10750000,249,Success
tourism,40000,89,Success
tourism,40000,179,Success
finance,658590000,141,Success
education,1650000,86,Fail
tourism,1710000,245,Success
tourism,7100000,94,Success
education,12000000,86,Success
finance,53800000,216,Success
finance,50300000,175,Success
tourism,70000000,200,Success
tourism,1400000,111,Success
tourism,50000,140,Success
finance,40000000,211,Success
finance,114700000,100,Success
finance,200000000,136,Success
tourism,280000,234,Success
tourism,3000000,80,Success
tourism,400000,168,Success
tourism,4000000,113,Success
finance,8630000,185,Fail
finance,33000000,150,Success
tourism,7000000,165,Success
tourism,4000000,175,Success
tourism,10000000,153,Success
finance,28810000,103,Success
finance,50000000,205,Success
education,2000000,185,Success
tourism,120000000,66,Success
tourism,120000000,165,Success
tourism,1400000,81,Success
manufacturing,250000000,219,Success
finance,110000000,88,Success
finance,50000000,188,Success
finance,7750000,180,Success
Information Technology,200000,151,Fail
Information Technology,200000,179,Success
Information Technology,200000,228,Success
tourism,23800000,194,Success
tourism,60000000,118,Success
education,10000000,149,Success
tourism,1800000,149,Success
tourism,9160000,112,Success
tourism,2800000,195,Success
tourism,13100000,185,Fail
tourism,100000000,115,Success
finance,478020000,220,Success
finance,32600000,208,Success
tourism,350000,124,Success
Information Technology,4720000,88,Success
Information Technology,8800000,151,Success
Information Technology,8800000,148,Success
Information Technology,8800000,228,Success
tourism,30000000,116,Success
finance,240900000,205,Success
finance,80000000,145,Success
finance,55000000,159,Success
tourism,250000,242,Success
tourism,7290000,224,Success
finance,25000000,118,Success
tourism,1600000,188,Success
tourism,2630000,79,Success
tourism,270000,52,Success
tourism,1200000,70,Success
tourism,190000,91,Success
manufacturing,6400000,123,Success
manufacturing,6000000,95,Success
finance,127300000,74,Success
tourism,2890000,182,Success
tourism,15000000,205,Success
finance,100000000,66,Success
finance,273000000,56,Success
finance,41700000,187,Success
tourism,27400000,134,Success
tourism,2510000,234,Success
manufacturing,40000000,106,Success
finance,70000000,175,Success
manufacturing,4200000,248,Success
manufacturing,75000000,241,Success
manufacturing,200000000,62,Success
tourism,3650000,240,Success
finance,6000000,184,Success
tourism,20000000,113,Success
finance,135000000,103,Success
finance,120000000,188,Success
education,13000000,235,Success
manufacturing,5000000,56,Success
finance,330300000,81,Success
